chknum,jobid,chksiz[bytes],chkdur[ms]
37,6ebe01b255df199949f60a281a0fed3e,29837096,12
38,6ebe01b255df199949f60a281a0fed3e,30648804,14
39,6ebe01b255df199949f60a281a0fed3e,31460530,12
40,6ebe01b255df199949f60a281a0fed3e,32272226,13
41,6ebe01b255df199949f60a281a0fed3e,33083910,13
42,6ebe01b255df199949f60a281a0fed3e,33895650,14
43,6ebe01b255df199949f60a281a0fed3e,34707434,24
44,6ebe01b255df199949f60a281a0fed3e,35519148,15
45,6ebe01b255df199949f60a281a0fed3e,36330926,12
46,6ebe01b255df199949f60a281a0fed3e,37142598,15
47,6ebe01b255df199949f60a281a0fed3e,37954304,15
48,6ebe01b255df199949f60a281a0fed3e,38766004,15
49,6ebe01b255df199949f60a281a0fed3e,39577780,14
50,6ebe01b255df199949f60a281a0fed3e,40389508,16
51,6ebe01b255df199949f60a281a0fed3e,41201220,11
52,6ebe01b255df199949f60a281a0fed3e,42012932,15
53,6ebe01b255df199949f60a281a0fed3e,42824626,16
54,6ebe01b255df199949f60a281a0fed3e,43636382,15
55,6ebe01b255df199949f60a281a0fed3e,44448034,26
56,6ebe01b255df199949f60a281a0fed3e,45259782,16
57,6ebe01b255df199949f60a281a0fed3e,46071490,17
58,6ebe01b255df199949f60a281a0fed3e,46883198,17
59,6ebe01b255df199949f60a281a0fed3e,47694912,16
60,6ebe01b255df199949f60a281a0fed3e,48506616,18
61,6ebe01b255df199949f60a281a0fed3e,49318352,28
62,6ebe01b255df199949f60a281a0fed3e,50130004,17
63,6ebe01b255df199949f60a281a0fed3e,50941712,18
64,6ebe01b255df199949f60a281a0fed3e,51753416,18
65,6ebe01b255df199949f60a281a0fed3e,52565162,17
66,6ebe01b255df199949f60a281a0fed3e,53376856,25
67,6ebe01b255df199949f60a281a0fed3e,54188586,20
68,6ebe01b255df199949f60a281a0fed3e,55000286,19
69,6ebe01b255df199949f60a281a0fed3e,55811962,19
70,6ebe01b255df199949f60a281a0fed3e,56623742,29
71,6ebe01b255df199949f60a281a0fed3e,57435472,20
72,6ebe01b255df199949f60a281a0fed3e,58247204,20
73,6ebe01b255df199949f60a281a0fed3e,59058878,28
74,6ebe01b255df199949f60a281a0fed3e,59870620,21
75,6ebe01b255df199949f60a281a0fed3e,60682326,26
76,6ebe01b255df199949f60a281a0fed3e,61494076,21
77,6ebe01b255df199949f60a281a0fed3e,62305808,20
78,6ebe01b255df199949f60a281a0fed3e,63117524,20
79,6ebe01b255df199949f60a281a0fed3e,63929232,32
80,6ebe01b255df199949f60a281a0fed3e,64740960,22
81,6ebe01b255df199949f60a281a0fed3e,65573000,39
82,6ebe01b255df199949f60a281a0fed3e,66364448,22
83,6ebe01b255df199949f60a281a0fed3e,67176176,31
84,6ebe01b255df199949f60a281a0fed3e,67987872,21
85,6ebe01b255df199949f60a281a0fed3e,68799538,23
86,6ebe01b255df199949f60a281a0fed3e,69611308,24
87,6ebe01b255df199949f60a281a0fed3e,70423068,29
88,6ebe01b255df199949f60a281a0fed3e,71234710,22
89,6ebe01b255df199949f60a281a0fed3e,72046416,24
90,6ebe01b255df199949f60a281a0fed3e,72858160,23
91,6ebe01b255df199949f60a281a0fed3e,73669854,24
92,6ebe01b255df199949f60a281a0fed3e,74481582,22
93,6ebe01b255df199949f60a281a0fed3e,75293318,17
94,6ebe01b255df199949f60a281a0fed3e,76105072,31
95,6ebe01b255df199949f60a281a0fed3e,76916816,26
96,6ebe01b255df199949f60a281a0fed3e,77728564,23
97,6ebe01b255df199949f60a281a0fed3e,78540270,23
98,6ebe01b255df199949f60a281a0fed3e,79352054,24
99,6ebe01b255df199949f60a281a0fed3e,80163752,23
100,6ebe01b255df199949f60a281a0fed3e,80975508,23
101,6ebe01b255df199949f60a281a0fed3e,81787218,24
102,6ebe01b255df199949f60a281a0fed3e,82598932,27
103,6ebe01b255df199949f60a281a0fed3e,83410638,44
104,6ebe01b255df199949f60a281a0fed3e,84222336,43
105,6ebe01b255df199949f60a281a0fed3e,85034038,46
106,6ebe01b255df199949f60a281a0fed3e,85845752,54
107,6ebe01b255df199949f60a281a0fed3e,86657420,33
108,6ebe01b255df199949f60a281a0fed3e,87469112,37
109,6ebe01b255df199949f60a281a0fed3e,88280838,34
110,6ebe01b255df199949f60a281a0fed3e,89092566,36
111,6ebe01b255df199949f60a281a0fed3e,89904320,34
112,6ebe01b255df199949f60a281a0fed3e,90716030,34
113,6ebe01b255df199949f60a281a0fed3e,91527750,34
114,6ebe01b255df199949f60a281a0fed3e,92339434,39
115,6ebe01b255df199949f60a281a0fed3e,93151106,42
116,6ebe01b255df199949f60a281a0fed3e,93962840,48
117,6ebe01b255df199949f60a281a0fed3e,94774574,34
118,6ebe01b255df199949f60a281a0fed3e,95586266,34
119,6ebe01b255df199949f60a281a0fed3e,96397970,37
120,6ebe01b255df199949f60a281a0fed3e,97209678,37
121,6ebe01b255df199949f60a281a0fed3e,98021424,38
122,6ebe01b255df199949f60a281a0fed3e,98833096,42
123,6ebe01b255df199949f60a281a0fed3e,99644838,37
124,6ebe01b255df199949f60a281a0fed3e,100456584,41
125,6ebe01b255df199949f60a281a0fed3e,101268258,35
126,6ebe01b255df199949f60a281a0fed3e,102079958,26
127,6ebe01b255df199949f60a281a0fed3e,102891654,40
128,6ebe01b255df199949f60a281a0fed3e,103703432,43
129,6ebe01b255df199949f60a281a0fed3e,104515182,46
130,6ebe01b255df199949f60a281a0fed3e,105326896,43
131,6ebe01b255df199949f60a281a0fed3e,106138616,47
132,6ebe01b255df199949f60a281a0fed3e,106950360,45
133,6ebe01b255df199949f60a281a0fed3e,107762052,39
134,6ebe01b255df199949f60a281a0fed3e,108573772,40
135,6ebe01b255df199949f60a281a0fed3e,109385492,34
136,6ebe01b255df199949f60a281a0fed3e,110197276,38
137,6ebe01b255df199949f60a281a0fed3e,111008950,43
138,6ebe01b255df199949f60a281a0fed3e,111820680,45
139,6ebe01b255df199949f60a281a0fed3e,112632352,44
140,6ebe01b255df199949f60a281a0fed3e,113444060,41
141,6ebe01b255df199949f60a281a0fed3e,114255772,44
142,6ebe01b255df199949f60a281a0fed3e,115067476,41
143,6ebe01b255df199949f60a281a0fed3e,115879218,47
144,6ebe01b255df199949f60a281a0fed3e,116690946,42
145,6ebe01b255df199949f60a281a0fed3e,117502714,43
146,6ebe01b255df199949f60a281a0fed3e,118314424,47
147,6ebe01b255df199949f60a281a0fed3e,119126158,43
148,6ebe01b255df199949f60a281a0fed3e,119937890,33
149,6ebe01b255df199949f60a281a0fed3e,120749554,45
150,6ebe01b255df199949f60a281a0fed3e,121561292,46
151,6ebe01b255df199949f60a281a0fed3e,122373024,52
152,6ebe01b255df199949f60a281a0fed3e,123184748,43
153,6ebe01b255df199949f60a281a0fed3e,123996378,40
154,6ebe01b255df199949f60a281a0fed3e,124808100,44
155,6ebe01b255df199949f60a281a0fed3e,125619752,45
156,6ebe01b255df199949f60a281a0fed3e,126431404,48
157,6ebe01b255df199949f60a281a0fed3e,127243092,43
158,6ebe01b255df199949f60a281a0fed3e,128054776,44
159,6ebe01b255df199949f60a281a0fed3e,128866540,42
160,6ebe01b255df199949f60a281a0fed3e,129678270,46
161,6ebe01b255df199949f60a281a0fed3e,130489992,45
162,6ebe01b255df199949f60a281a0fed3e,131301682,46
163,6ebe01b255df199949f60a281a0fed3e,132113428,44
164,6ebe01b255df199949f60a281a0fed3e,132925156,42
165,6ebe01b255df199949f60a281a0fed3e,133736886,46
166,6ebe01b255df199949f60a281a0fed3e,134548538,62
167,6ebe01b255df199949f60a281a0fed3e,135360214,48
168,6ebe01b255df199949f60a281a0fed3e,136171926,50
169,6ebe01b255df199949f60a281a0fed3e,136983672,47
170,6ebe01b255df199949f60a281a0fed3e,137795360,49
171,6ebe01b255df199949f60a281a0fed3e,138607092,49
172,6ebe01b255df199949f60a281a0fed3e,139418786,48
173,6ebe01b255df199949f60a281a0fed3e,140230506,40
174,6ebe01b255df199949f60a281a0fed3e,141042238,48
175,6ebe01b255df199949f60a281a0fed3e,141853946,51
176,6ebe01b255df199949f60a281a0fed3e,142665678,48
177,6ebe01b255df199949f60a281a0fed3e,143477432,53
178,6ebe01b255df199949f60a281a0fed3e,144289152,48
179,6ebe01b255df199949f60a281a0fed3e,145100888,47
180,6ebe01b255df199949f60a281a0fed3e,145912578,50
181,6ebe01b255df199949f60a281a0fed3e,146724266,50
182,6ebe01b255df199949f60a281a0fed3e,147536042,46
183,6ebe01b255df199949f60a281a0fed3e,148347794,54
184,6ebe01b255df199949f60a281a0fed3e,149159496,53
185,6ebe01b255df199949f60a281a0fed3e,149971226,36
186,6ebe01b255df199949f60a281a0fed3e,150782968,53
187,6ebe01b255df199949f60a281a0fed3e,151594690,54
188,6ebe01b255df199949f60a281a0fed3e,152406364,50
189,6ebe01b255df199949f60a281a0fed3e,153218058,60
190,6ebe01b255df199949f60a281a0fed3e,154029762,53
191,6ebe01b255df199949f60a281a0fed3e,154841442,55
192,6ebe01b255df199949f60a281a0fed3e,155653148,50
193,6ebe01b255df199949f60a281a0fed3e,156464836,55
194,6ebe01b255df199949f60a281a0fed3e,157276536,52
195,6ebe01b255df199949f60a281a0fed3e,158088280,58
196,6ebe01b255df199949f60a281a0fed3e,158899948,59
197,6ebe01b255df199949f60a281a0fed3e,159711706,54
198,6ebe01b255df199949f60a281a0fed3e,160523430,53
199,6ebe01b255df199949f60a281a0fed3e,161335120,53
200,6ebe01b255df199949f60a281a0fed3e,162146836,37
201,6ebe01b255df199949f60a281a0fed3e,162958568,51
202,6ebe01b255df199949f60a281a0fed3e,163770264,62
203,6ebe01b255df199949f60a281a0fed3e,164582008,53
204,6ebe01b255df199949f60a281a0fed3e,165393678,50
205,6ebe01b255df199949f60a281a0fed3e,166205464,59
206,6ebe01b255df199949f60a281a0fed3e,167017228,83
207,6ebe01b255df199949f60a281a0fed3e,167828940,66
208,6ebe01b255df199949f60a281a0fed3e,168640654,75
209,6ebe01b255df199949f60a281a0fed3e,169452358,64
210,6ebe01b255df199949f60a281a0fed3e,170264058,90
211,6ebe01b255df199949f60a281a0fed3e,171075762,67
212,6ebe01b255df199949f60a281a0fed3e,171887498,69
213,6ebe01b255df199949f60a281a0fed3e,172699250,84
214,6ebe01b255df199949f60a281a0fed3e,173510962,63
215,6ebe01b255df199949f60a281a0fed3e,174322692,63
216,6ebe01b255df199949f60a281a0fed3e,175134436,66
217,6ebe01b255df199949f60a281a0fed3e,175946132,67
218,6ebe01b255df199949f60a281a0fed3e,176757840,51
219,6ebe01b255df199949f60a281a0fed3e,177569544,65
220,6ebe01b255df199949f60a281a0fed3e,178381284,70
221,6ebe01b255df199949f60a281a0fed3e,179193010,72
222,6ebe01b255df199949f60a281a0fed3e,180004766,67
223,6ebe01b255df199949f60a281a0fed3e,180816446,71
224,6ebe01b255df199949f60a281a0fed3e,181628144,66
225,6ebe01b255df199949f60a281a0fed3e,182439888,75
226,6ebe01b255df199949f60a281a0fed3e,183251664,70
227,6ebe01b255df199949f60a281a0fed3e,184063336,77
228,6ebe01b255df199949f60a281a0fed3e,184875022,72
229,6ebe01b255df199949f60a281a0fed3e,185686754,67
230,6ebe01b255df199949f60a281a0fed3e,186498504,77
231,6ebe01b255df199949f60a281a0fed3e,187310202,74
232,6ebe01b255df199949f60a281a0fed3e,188121932,75
233,6ebe01b255df199949f60a281a0fed3e,188933668,70
234,6ebe01b255df199949f60a281a0fed3e,189745376,71
235,6ebe01b255df199949f60a281a0fed3e,190557154,78
236,6ebe01b255df199949f60a281a0fed3e,191368866,77
237,6ebe01b255df199949f60a281a0fed3e,192180544,66
238,6ebe01b255df199949f60a281a0fed3e,192992208,82
239,6ebe01b255df199949f60a281a0fed3e,193803960,75
240,6ebe01b255df199949f60a281a0fed3e,194615666,77
241,6ebe01b255df199949f60a281a0fed3e,195427380,73
242,6ebe01b255df199949f60a281a0fed3e,196239096,76
243,6ebe01b255df199949f60a281a0fed3e,197050832,57
244,6ebe01b255df199949f60a281a0fed3e,197862530,90
245,6ebe01b255df199949f60a281a0fed3e,198674294,73
246,6ebe01b255df199949f60a281a0fed3e,199485980,66
247,6ebe01b255df199949f60a281a0fed3e,200297682,80
248,6ebe01b255df199949f60a281a0fed3e,201109428,79
249,6ebe01b255df199949f60a281a0fed3e,201921132,84
250,6ebe01b255df199949f60a281a0fed3e,202732840,81
251,6ebe01b255df199949f60a281a0fed3e,203544544,139
252,6ebe01b255df199949f60a281a0fed3e,204356254,77
253,6ebe01b255df199949f60a281a0fed3e,205167954,57
254,6ebe01b255df199949f60a281a0fed3e,205979718,81
255,6ebe01b255df199949f60a281a0fed3e,206791406,77
256,6ebe01b255df199949f60a281a0fed3e,207603108,70
257,6ebe01b255df199949f60a281a0fed3e,208414774,80
258,6ebe01b255df199949f60a281a0fed3e,209226442,56
259,6ebe01b255df199949f60a281a0fed3e,210038138,73
260,6ebe01b255df199949f60a281a0fed3e,210849796,82
261,6ebe01b255df199949f60a281a0fed3e,211661548,56
262,6ebe01b255df199949f60a281a0fed3e,212473258,84
263,6ebe01b255df199949f60a281a0fed3e,213285006,80
264,6ebe01b255df199949f60a281a0fed3e,214096698,87
265,6ebe01b255df199949f60a281a0fed3e,214908380,89
266,6ebe01b255df199949f60a281a0fed3e,215720150,85
267,6ebe01b255df199949f60a281a0fed3e,216531878,80
268,6ebe01b255df199949f60a281a0fed3e,217343636,84
269,6ebe01b255df199949f60a281a0fed3e,218155322,83
270,6ebe01b255df199949f60a281a0fed3e,218967120,71
271,6ebe01b255df199949f60a281a0fed3e,219778830,83
272,6ebe01b255df199949f60a281a0fed3e,220590532,81
273,6ebe01b255df199949f60a281a0fed3e,221402258,81
274,6ebe01b255df199949f60a281a0fed3e,222214012,71
275,6ebe01b255df199949f60a281a0fed3e,223025734,65
276,6ebe01b255df199949f60a281a0fed3e,223837440,87
277,6ebe01b255df199949f60a281a0fed3e,224649162,86
278,6ebe01b255df199949f60a281a0fed3e,225460870,87
279,6ebe01b255df199949f60a281a0fed3e,226272576,84
280,6ebe01b255df199949f60a281a0fed3e,227084268,82
281,6ebe01b255df199949f60a281a0fed3e,227895970,62
282,6ebe01b255df199949f60a281a0fed3e,228707708,61
283,6ebe01b255df199949f60a281a0fed3e,229519418,81
284,6ebe01b255df199949f60a281a0fed3e,230331112,80
285,6ebe01b255df199949f60a281a0fed3e,231142850,88
286,6ebe01b255df199949f60a281a0fed3e,231954516,91
287,6ebe01b255df199949f60a281a0fed3e,232766242,70
288,6ebe01b255df199949f60a281a0fed3e,233577944,81
289,6ebe01b255df199949f60a281a0fed3e,234389682,79
290,6ebe01b255df199949f60a281a0fed3e,235201366,90
291,6ebe01b255df199949f60a281a0fed3e,236013018,77
292,6ebe01b255df199949f60a281a0fed3e,236824722,85
293,6ebe01b255df199949f60a281a0fed3e,237636438,95
294,6ebe01b255df199949f60a281a0fed3e,238448172,77
295,6ebe01b255df199949f60a281a0fed3e,239259906,91
296,6ebe01b255df199949f60a281a0fed3e,240091876,167
297,6ebe01b255df199949f60a281a0fed3e,240883282,90
298,6ebe01b255df199949f60a281a0fed3e,241694974,90
299,6ebe01b255df199949f60a281a0fed3e,242506678,86
300,6ebe01b255df199949f60a281a0fed3e,243318398,71
301,6ebe01b255df199949f60a281a0fed3e,244130116,80
302,6ebe01b255df199949f60a281a0fed3e,244941836,98
303,6ebe01b255df199949f60a281a0fed3e,245753554,92
304,6ebe01b255df199949f60a281a0fed3e,246565248,79
305,6ebe01b255df199949f60a281a0fed3e,247376960,91
306,6ebe01b255df199949f60a281a0fed3e,248188688,139
307,6ebe01b255df199949f60a281a0fed3e,249000432,126
308,6ebe01b255df199949f60a281a0fed3e,249812122,202
309,6ebe01b255df199949f60a281a0fed3e,250623848,119
310,6ebe01b255df199949f60a281a0fed3e,251435562,102
311,6ebe01b255df199949f60a281a0fed3e,252247340,122
312,6ebe01b255df199949f60a281a0fed3e,253059014,84
313,6ebe01b255df199949f60a281a0fed3e,253870700,112
314,6ebe01b255df199949f60a281a0fed3e,254682422,110
315,6ebe01b255df199949f60a281a0fed3e,255494108,110
316,6ebe01b255df199949f60a281a0fed3e,256305796,135
317,6ebe01b255df199949f60a281a0fed3e,257117540,114
318,6ebe01b255df199949f60a281a0fed3e,257929296,125
319,6ebe01b255df199949f60a281a0fed3e,258740998,116
320,6ebe01b255df199949f60a281a0fed3e,259552662,143
321,6ebe01b255df199949f60a281a0fed3e,260364392,97
322,6ebe01b255df199949f60a281a0fed3e,261176102,127
323,6ebe01b255df199949f60a281a0fed3e,261987854,112
324,6ebe01b255df199949f60a281a0fed3e,262799554,110
325,6ebe01b255df199949f60a281a0fed3e,263611236,122
326,6ebe01b255df199949f60a281a0fed3e,264422946,159
327,6ebe01b255df199949f60a281a0fed3e,265234704,100
328,6ebe01b255df199949f60a281a0fed3e,266046446,117
329,6ebe01b255df199949f60a281a0fed3e,266858168,100
330,6ebe01b255df199949f60a281a0fed3e,267669904,110
331,6ebe01b255df199949f60a281a0fed3e,268481590,110
332,6ebe01b255df199949f60a281a0fed3e,269293296,107
333,6ebe01b255df199949f60a281a0fed3e,270105028,105
334,6ebe01b255df199949f60a281a0fed3e,270916756,123
335,6ebe01b255df199949f60a281a0fed3e,271728464,123
336,6ebe01b255df199949f60a281a0fed3e,272540158,119
337,6ebe01b255df199949f60a281a0fed3e,273351808,127
338,6ebe01b255df199949f60a281a0fed3e,274163470,110
339,6ebe01b255df199949f60a281a0fed3e,274975208,132
340,6ebe01b255df199949f60a281a0fed3e,275786870,104
341,6ebe01b255df199949f60a281a0fed3e,276598594,99
342,6ebe01b255df199949f60a281a0fed3e,277410312,104
343,6ebe01b255df199949f60a281a0fed3e,278222042,125
344,6ebe01b255df199949f60a281a0fed3e,279033694,103
345,6ebe01b255df199949f60a281a0fed3e,279845424,127
346,6ebe01b255df199949f60a281a0fed3e,280657124,152
347,6ebe01b255df199949f60a281a0fed3e,281468842,128
348,6ebe01b255df199949f60a281a0fed3e,282280578,133
349,6ebe01b255df199949f60a281a0fed3e,283092306,133
350,6ebe01b255df199949f60a281a0fed3e,283904052,99
351,6ebe01b255df199949f60a281a0fed3e,284715828,127
352,6ebe01b255df199949f60a281a0fed3e,285527566,113
353,6ebe01b255df199949f60a281a0fed3e,286339294,134
354,6ebe01b255df199949f60a281a0fed3e,287151036,129
355,6ebe01b255df199949f60a281a0fed3e,287962726,124
356,6ebe01b255df199949f60a281a0fed3e,288774414,117
357,6ebe01b255df199949f60a281a0fed3e,289586122,110
358,6ebe01b255df199949f60a281a0fed3e,290397900,129
359,6ebe01b255df199949f60a281a0fed3e,291209630,125
360,6ebe01b255df199949f60a281a0fed3e,292021370,133
361,6ebe01b255df199949f60a281a0fed3e,292833044,132
362,6ebe01b255df199949f60a281a0fed3e,293644712,132
363,6ebe01b255df199949f60a281a0fed3e,294456436,133
364,6ebe01b255df199949f60a281a0fed3e,295268124,136
365,6ebe01b255df199949f60a281a0fed3e,296079834,127
366,6ebe01b255df199949f60a281a0fed3e,296891600,112
367,6ebe01b255df199949f60a281a0fed3e,297703332,132
368,6ebe01b255df199949f60a281a0fed3e,298515056,124
369,6ebe01b255df199949f60a281a0fed3e,299326784,103
370,6ebe01b255df199949f60a281a0fed3e,300138538,119
371,6ebe01b255df199949f60a281a0fed3e,300950294,181
372,6ebe01b255df199949f60a281a0fed3e,301761964,131
373,6ebe01b255df199949f60a281a0fed3e,302573644,141
374,6ebe01b255df199949f60a281a0fed3e,303385378,143
375,6ebe01b255df199949f60a281a0fed3e,304197090,148
376,6ebe01b255df199949f60a281a0fed3e,305008790,132
377,6ebe01b255df199949f60a281a0fed3e,305820496,137
378,6ebe01b255df199949f60a281a0fed3e,306632214,121
379,6ebe01b255df199949f60a281a0fed3e,307443930,111
380,6ebe01b255df199949f60a281a0fed3e,308255634,102
381,6ebe01b255df199949f60a281a0fed3e,309067384,111
382,6ebe01b255df199949f60a281a0fed3e,309879098,131
383,6ebe01b255df199949f60a281a0fed3e,310690798,106
384,6ebe01b255df199949f60a281a0fed3e,311502544,118
385,6ebe01b255df199949f60a281a0fed3e,312314272,140
386,6ebe01b255df199949f60a281a0fed3e,313146266,185
387,6ebe01b255df199949f60a281a0fed3e,313937704,125
388,6ebe01b255df199949f60a281a0fed3e,314749404,120
389,6ebe01b255df199949f60a281a0fed3e,315561156,137
390,6ebe01b255df199949f60a281a0fed3e,316372844,132
391,6ebe01b255df199949f60a281a0fed3e,317184488,126
392,6ebe01b255df199949f60a281a0fed3e,317996170,140
393,6ebe01b255df199949f60a281a0fed3e,318807886,225
394,6ebe01b255df199949f60a281a0fed3e,319619596,111
395,6ebe01b255df199949f60a281a0fed3e,320431278,142
396,6ebe01b255df199949f60a281a0fed3e,321242970,174
397,6ebe01b255df199949f60a281a0fed3e,322054692,128
398,6ebe01b255df199949f60a281a0fed3e,322866382,129
399,6ebe01b255df199949f60a281a0fed3e,323678150,115
400,6ebe01b255df199949f60a281a0fed3e,324489882,144
401,6ebe01b255df199949f60a281a0fed3e,325301626,113
402,6ebe01b255df199949f60a281a0fed3e,326113334,146
403,6ebe01b255df199949f60a281a0fed3e,326925060,138
404,6ebe01b255df199949f60a281a0fed3e,327736756,135
405,6ebe01b255df199949f60a281a0fed3e,328548490,145
406,6ebe01b255df199949f60a281a0fed3e,329360264,179
407,6ebe01b255df199949f60a281a0fed3e,330171962,124
408,6ebe01b255df199949f60a281a0fed3e,330983662,149
409,6ebe01b255df199949f60a281a0fed3e,331795346,159
410,6ebe01b255df199949f60a281a0fed3e,332607032,192
411,6ebe01b255df199949f60a281a0fed3e,333418776,281
412,6ebe01b255df199949f60a281a0fed3e,334230488,213
413,6ebe01b255df199949f60a281a0fed3e,335042228,155
414,6ebe01b255df199949f60a281a0fed3e,335853960,190
415,6ebe01b255df199949f60a281a0fed3e,336665674,193
416,6ebe01b255df199949f60a281a0fed3e,337477410,263
417,6ebe01b255df199949f60a281a0fed3e,338289130,171
418,6ebe01b255df199949f60a281a0fed3e,339100852,159
419,6ebe01b255df199949f60a281a0fed3e,339912590,191
420,6ebe01b255df199949f60a281a0fed3e,340724292,183
421,6ebe01b255df199949f60a281a0fed3e,341536000,172
422,6ebe01b255df199949f60a281a0fed3e,342343610,157
423,6ebe01b255df199949f60a281a0fed3e,343155336,157
424,6ebe01b255df199949f60a281a0fed3e,343967032,173
425,6ebe01b255df199949f60a281a0fed3e,344778772,170
426,6ebe01b255df199949f60a281a0fed3e,345590472,241
427,6ebe01b255df199949f60a281a0fed3e,346402220,161
428,6ebe01b255df199949f60a281a0fed3e,347213964,148
429,6ebe01b255df199949f60a281a0fed3e,348025636,184
430,6ebe01b255df199949f60a281a0fed3e,348837330,209
431,6ebe01b255df199949f60a281a0fed3e,349649072,321
432,6ebe01b255df199949f60a281a0fed3e,350460774,200
433,6ebe01b255df199949f60a281a0fed3e,351272432,190
434,6ebe01b255df199949f60a281a0fed3e,352084182,172
435,6ebe01b255df199949f60a281a0fed3e,352895950,211
436,6ebe01b255df199949f60a281a0fed3e,353727934,305
437,6ebe01b255df199949f60a281a0fed3e,354519328,188
438,6ebe01b255df199949f60a281a0fed3e,355331078,236
439,6ebe01b255df199949f60a281a0fed3e,356142766,185
440,6ebe01b255df199949f60a281a0fed3e,356954458,270
441,6ebe01b255df199949f60a281a0fed3e,357766226,205
442,6ebe01b255df199949f60a281a0fed3e,358577960,247
443,6ebe01b255df199949f60a281a0fed3e,359389654,171
444,6ebe01b255df199949f60a281a0fed3e,360201354,184
445,6ebe01b255df199949f60a281a0fed3e,361013052,269
446,6ebe01b255df199949f60a281a0fed3e,361824772,256
447,6ebe01b255df199949f60a281a0fed3e,362636522,282
448,6ebe01b255df199949f60a281a0fed3e,363448238,288
449,6ebe01b255df199949f60a281a0fed3e,364259940,244
450,6ebe01b255df199949f60a281a0fed3e,365071654,262
451,6ebe01b255df199949f60a281a0fed3e,365883318,331
452,6ebe01b255df199949f60a281a0fed3e,366694992,288
453,6ebe01b255df199949f60a281a0fed3e,367506736,293
454,6ebe01b255df199949f60a281a0fed3e,368318458,249
455,6ebe01b255df199949f60a281a0fed3e,369130176,303
456,6ebe01b255df199949f60a281a0fed3e,369941850,341
457,6ebe01b255df199949f60a281a0fed3e,370753560,331
458,6ebe01b255df199949f60a281a0fed3e,371565300,253
459,6ebe01b255df199949f60a281a0fed3e,372376964,303
460,6ebe01b255df199949f60a281a0fed3e,373188720,379
461,6ebe01b255df199949f60a281a0fed3e,374000416,367
462,6ebe01b255df199949f60a281a0fed3e,374812212,343
463,6ebe01b255df199949f60a281a0fed3e,375623958,307
464,6ebe01b255df199949f60a281a0fed3e,376435690,374
465,6ebe01b255df199949f60a281a0fed3e,377247412,415
466,6ebe01b255df199949f60a281a0fed3e,378059168,393
467,6ebe01b255df199949f60a281a0fed3e,378870874,431
468,6ebe01b255df199949f60a281a0fed3e,379682584,489
469,6ebe01b255df199949f60a281a0fed3e,380494332,454
470,6ebe01b255df199949f60a281a0fed3e,381306056,405
471,6ebe01b255df199949f60a281a0fed3e,382117772,478
472,6ebe01b255df199949f60a281a0fed3e,382929482,420
473,6ebe01b255df199949f60a281a0fed3e,383741178,468
474,6ebe01b255df199949f60a281a0fed3e,384552906,499
475,6ebe01b255df199949f60a281a0fed3e,385364616,482
476,6ebe01b255df199949f60a281a0fed3e,386176292,499
477,6ebe01b255df199949f60a281a0fed3e,386987936,508
478,6ebe01b255df199949f60a281a0fed3e,387799660,498
479,6ebe01b255df199949f60a281a0fed3e,388611410,504
480,6ebe01b255df199949f60a281a0fed3e,389423184,492
481,6ebe01b255df199949f60a281a0fed3e,390234884,533
